Country,Obesity Rate,Male Obesity Rate,Female Obesity Rate,average_price,item_name
Micronesia,45.6,37,54.1,5.47,"Apples (1 kg), Markets"
Micronesia,45.6,37,54.1,5.14,"Oranges (1 kg), Markets"
Micronesia,45.6,37,54.1,4.5,"Potatoes (1 kg), Markets"
Micronesia,45.6,37,54.1,3.13,"Lettuce (1 Head), Markets"
Micronesia,45.6,37,54.1,3.83,"Cappuccino (Regular Size), Restaurants"
Micronesia,45.6,37,54.1,3.38,"White Rice (1 kg), Markets"
Micronesia,45.6,37,54.1,3.75,"Tomatoes (1 kg), Markets"
Micronesia,45.6,37,54.1,3.8,"Bananas (1 kg), Markets"
Micronesia,45.6,37,54.1,2.95,"Onions (1 kg), Markets"
Micronesia,45.6,37,54.1,11.02,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
Kuwait,45.4,41.6,51.7,8.15,"Meal at an Inexpensive Restaurant, Restaurants"
Kuwait,45.4,41.6,51.7,52.15,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
Kuwait,45.4,41.6,51.7,8.15,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
Kuwait,45.4,41.6,51.7,2.93,"Domestic Draft Beer (0.5 Liter), Restaurants"
Kuwait,45.4,41.6,51.7,3.26,"Imported Beer (0.33 Liter Bottle), Restaurants"
Kuwait,45.4,41.6,51.7,0.51,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
Kuwait,45.4,41.6,51.7,0.36,"Bottled Water (0.33 Liter), Restaurants"
Kuwait,45.4,41.6,51.7,1.59,"Milk (Regular, 1 Liter), Markets"
Kuwait,45.4,41.6,51.7,1.13,"Fresh White Bread (500 g Loaf), Markets"
Kuwait,45.4,41.6,51.7,2.08,"Eggs (12, Large Size), Markets"
Kuwait,45.4,41.6,51.7,6.35,"Local Cheese (1 kg), Markets"
Kuwait,45.4,41.6,51.7,0.5,"Bottled Water (1.5 Liter), Markets"
Kuwait,45.4,41.6,51.7,3.26,"Bottle of Wine (Mid-Range), Markets"
Kuwait,45.4,41.6,51.7,1.26,"Domestic Beer (0.5 Liter Bottle), Markets"
Kuwait,45.4,41.6,51.7,1.74,"Imported Beer (0.33 Liter Bottle), Markets"
Kuwait,45.4,41.6,51.7,3.1,"Cigarettes (Pack of 20, Marlboro), Markets"
Kuwait,45.4,41.6,51.7,7.11,"Chicken Fillets (1 kg), Markets"
Kuwait,45.4,41.6,51.7,2.34,"Apples (1 kg), Markets"
Kuwait,45.4,41.6,51.7,1.75,"Oranges (1 kg), Markets"
Kuwait,45.4,41.6,51.7,1.38,"Potatoes (1 kg), Markets"
Kuwait,45.4,41.6,51.7,2.32,"Lettuce (1 Head), Markets"
Kuwait,45.4,41.6,51.7,5.14,"Cappuccino (Regular Size), Restaurants"
Kuwait,45.4,41.6,51.7,1.88,"White Rice (1 kg), Markets"
Kuwait,45.4,41.6,51.7,1.64,"Tomatoes (1 kg), Markets"
Kuwait,45.4,41.6,51.7,1.95,"Bananas (1 kg), Markets"
Kuwait,45.4,41.6,51.7,1.31,"Onions (1 kg), Markets"
Kuwait,45.4,41.6,51.7,10.26,"Beef Round or Equivalent Back Leg Red Meat (1 kg), Markets"
Qatar,43.8,41.7,50.6,8.23,"Meal at an Inexpensive Restaurant, Restaurants"
Qatar,43.8,41.7,50.6,54.89,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks), Restaurants"
Qatar,43.8,41.7,50.6,7.41,"Combo Meal at McDonald's (or Equivalent Fast-Food Meal), Restaurants"
Qatar,43.8,41.7,50.6,11.66,"Domestic Draft Beer (0.5 Liter), Restaurants"
Qatar,43.8,41.7,50.6,12.35,"Imported Beer (0.33 Liter Bottle), Restaurants"
Qatar,43.8,41.7,50.6,0.9,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle), Restaurants"
Qatar,43.8,41.7,50.6,0.31,"Bottled Water (0.33 Liter), Restaurants"
Qatar,43.8,41.7,50.6,2.13,"Milk (Regular, 1 Liter), Markets"
Qatar,43.8,41.7,50.6,1.48,"Fresh White Bread (500 g Loaf), Markets"
Qatar,43.8,41.7,50.6,2.62,"Eggs (12, Large Size), Markets"
Qatar,43.8,41.7,50.6,10.49,"Local Cheese (1 kg), Markets"
Qatar,43.8,41.7,50.6,0.51,"Bottled Water (1.5 Liter), Markets"
Qatar,43.8,41.7,50.6,8.95,"Bottle of Wine (Mid-Range), Markets"
Qatar,43.8,41.7,50.6,1.97,"Domestic Beer (0.5 Liter Bottle), Markets"
Qatar,43.8,41.7,50.6,3.2,"Imported Beer (0.33 Liter Bottle), Markets"
Qatar,43.8,41.7,50.6,6.31,"Cigarettes (Pack of 20, Marlboro), Markets"
Qatar,43.8,41.7,50.6,7.64,"Chicken Fillets (1 kg), Markets"
Qatar,43.8,41.7,50.6,2.08,"Apples (1 kg), Markets"
Qatar,43.8,41.7,50.6,1.67,"Oranges (1 kg), Markets"
Qatar,43.8,41.7,50.6,1.04,"Potatoes (1 kg), Markets"
Qatar,43.8,41.7,50.6,1.45,"Lettuce (1 Head), Markets"
Qatar,43.8,41.7,50.6,5.01,"Cappuccino (Regular Size), Restaurants"
Qatar,43.8,41.7,50.6,2.25,"White Rice (1 kg), Markets"
Qatar,43.8,41.7,50.6,1.44,"Tomatoes (1 kg), Markets"
Qatar,43.8,41.7,50.6,1.6,"Bananas (1 kg), Markets"
Qatar,43.8,41.7,50.6,1.09,"Onions (1 kg), Markets"
